_id|timestamp|sessionid|node|log|env_timestamp|type|direction|packet_id|unique_id
64608e70fe11522f1d30b563|1511581|2023-05-14 07:29:32.176|3|SendData 003221|2023-05-14 07:54:43.757|packet|send|003221|15003221
64608e70fe11522f1d30b564|1511612|2023-05-14 07:29:32.176|1|RecvData 003221|2023-05-14 07:54:43.788|packet|recv|003221|15003221
64608e70fe11522f1d30b565|1511627|2023-05-14 07:29:32.176|1|RecvData 011213|2023-05-14 07:54:43.803|packet|recv|011213|15011213
64608e70fe11522f1d30b566|1511746|2023-05-14 07:29:32.176|8|SendData 008216|2023-05-14 07:54:43.922|packet|send|008216|15008216
64608e70fe11522f1d30b567|1511972|2023-05-14 07:29:32.176|1|RecvData 008216|2023-05-14 07:54:44.148|packet|recv|008216|15008216
64608e70fe11522f1d30b568|1512230|2023-05-14 07:29:32.176|10|SendData 010214|2023-05-14 07:54:44.406|packet|send|010214|15010214
64608e70fe11522f1d30b569|1512316|2023-05-14 07:29:32.176|13|SendData 013211|2023-05-14 07:54:44.492|packet|send|013211|15013211
64608e70fe11522f1d30b56a|1512442|2023-05-14 07:29:32.176|2|RecvData 013211|2023-05-14 07:54:44.618|packet|recv|013211|15013211
64608e70fe11522f1d30b56b|1512498|2023-05-14 07:29:32.176|1|RecvData 010214|2023-05-14 07:54:44.674|packet|recv|010214|15010214
64608e70fe11522f1d30b56c|1512885|2023-05-14 07:29:32.176|14|SendData 014210|2023-05-14 07:54:45.061|packet|send|014210|15014210
64608e71fe11522f1d30b56d|1513313|2023-05-14 07:29:32.176|2|RecvData 014210|2023-05-14 07:54:45.489|packet|recv|014210|15014210
64608e71fe11522f1d30b56e|1514384|2023-05-14 07:29:32.176|4|SendData 004220|2023-05-14 07:54:46.560|packet|send|004220|15004220
64608e71fe11522f1d30b56f|1514434|2023-05-14 07:29:32.176|1|RecvData 004220|2023-05-14 07:54:46.610|packet|recv|004220|15004220
